Shop_20299986,Shop_19701394,Difference_score
465396958,294418514,0
227613862,213935026,20.0
227613863,386172726,20.0
227613861,213933003,17.0
465396949,229148738,13.0
227613864,213933003,20.0
527987930,525844833,0
465396945,229148738,17.0
227613869,213935026,0
465396940,229148738,0
527987974,525844886,0
527987880,525844710,0
527987921,525844810,0
527987922,525844813,0
527987924,525844821,0
527987926,525844834,0
227613853,213935007,21.0
227613851,213933003,0
465396954,525844717,24.0
465396952,229161345,0
465396953,525844702,22.0
227613859,213934072,0
465396951,229161345,12.0
527987937,525844848,0
527987936,525844843,17.0
465396946,229161345,0.0
527987934,525844809,0
527987933,525844838,0
227613848,213934038,0
227613849,213934053,0
527987897,525844752,0
527987959,525844864,0
527987892,525844744,0
227613865,386172726,21.0
527987951,525844908,0
227613847,213935007,21.0
465396963,294418514,0.0
465396966,294418514,0.0
465396964,294424377,0
465396969,294418514,0.0
615789354,615685191,0
465397006,394203702,22.0
465397004,529389475,22.0
465397003,529371361,23.0
442989207,220119155,23.0
465397000,509451372,23.0
465397008,510891661,22.0
443161141,420131630,9.0
527987942,525844856,0
527987943,525844845,0
527987941,525844855,0
465396975,294424377,0.0
465396977,294424377,0.0
465396971,294424377,0.0
574104948,242919916,23.0
465397012,321830224,23.0
465397016,485849244,21.0
465396904,229022757,0
442989211,423522821,15.0
442989216,425331668,24.0
465396907,228993934,0
527987903,525844748,0
562153733,532424222,0
465396908,228963204,0
527987907,525844762,0
527987970,525844907,0
527987975,525844896,0
442473327,422523107,5.0
465396973,294424377,0.0
527987875,525844714,0
527987878,525844702,0
527987879,525844707,0
465396905,228986301,0
442989222,235475893,24.0
442989221,423522841,15.0
465396906,228999974,0
527987872,525844708,0
527987873,525844699,0
527987871,525844747,0
527987876,525844717,0
527987877,525844706,0
527987874,525844705,0
442989228,423522874,15.0
465396989,571614010,24.0
465396988,450411056,23.0
527987964,525844894,0
227621610,397020086,19.0
227621611,207165488,20.0
527987968,525844873,0
442989231,510971530,24.0
442989232,423522853,15.0
527987952,525844858,0
442989237,511096963,24.0
465396910,229013845,0
465396911,299513560,0
465396916,259158350,0
465396917,259165925,0
465396914,308251087,0
465396998,510891621,24.0
465396999,207495997,24.0
465396993,213934038,22.0
465396996,509304060,22.0
465396997,511155071,22.0
465396994,236966119,24.0
465396995,294424377,0.0
527987911,525844768,0
527987910,525844758,0
527987913,525844797,3.0
527987912,525844753,0
527987915,525844794,0
527987917,525844827,0
527987916,525844800,0
442960058,418145619,12.0
465396927,490325025,22.0
465396925,259165925,0.0
465396920,259165925,0.0
465396928,259165925,0.0
227697413,509271371,24.0
562187288,532424164,0
227613871,213935045,0
227613870,213935007,0
527987900,525844751,0
227613874,386172726,21.0
465396930,259165925,0.0
527987908,525844759,0
527987909,525844786,0
465396936,229161345,13.0
465396937,229148738,17.0
