ps_product_name,ps_gender,ps_url,ps_rating,ps_rating_count,ps_seller,ps_seller_rating,ps_img_1,ps_img_2,ps_img_3,ps_img_4,ps_img_5,ps_img_6,ps_img_7,ps_img_8,ps_img_9,ps_sku_ref_no_parent,ps_stock,ps_num_bought,ps_brand,ps_product_description,ps_variation 1 ps_variation_price,ps_variation 1 ps_variation_price_discount,ps_variation 1 ps_variation_min_fullfillment_time,ps_variation 1 ps_variation_max_fullfillment_time,ps_variation 1 ps_variation_stock,ps_variation 1 ps_variation_size,ps_variation 1 ps_variation_color,ps_variation 1 ps_variation_shipping_fee,ps_variation 2 ps_variation_price,ps_variation 2 ps_variation_price_discount,ps_variation 2 ps_variation_min_fullfillment_time,ps_variation 2 ps_variation_max_fullfillment_time,ps_variation 2 ps_variation_stock,ps_variation 2 ps_variation_size,ps_variation 2 ps_variation_color,ps_variation 2 ps_variation_shipping_fee,ps_variation 3 ps_variation_price,ps_variation 3 ps_variation_price_discount,ps_variation 3 ps_variation_min_fullfillment_time,ps_variation 3 ps_variation_max_fullfillment_time,ps_variation 3 ps_variation_stock,ps_variation 3 ps_variation_size,ps_variation 3 ps_variation_color,ps_variation 3 ps_variation_shipping_fee,ps_variation 4 ps_variation_price,ps_variation 4 ps_variation_price_discount,ps_variation 4 ps_variation_min_fullfillment_time,ps_variation 4 ps_variation_max_fullfillment_time,ps_variation 4 ps_variation_stock,ps_variation 4 ps_variation_size,ps_variation 4 ps_variation_color,ps_variation 4 ps_variation_shipping_fee,ps_variation 5 ps_variation_price,ps_variation 5 ps_variation_price_discount,ps_variation 5 ps_variation_min_fullfillment_time,ps_variation 5 ps_variation_max_fullfillment_time,ps_variation 5 ps_variation_stock,ps_variation 5 ps_variation_size,ps_variation 5 ps_variation_color,ps_variation 5 ps_variation_shipping_fee,ps_variation 6 ps_variation_price,ps_variation 6 ps_variation_price_discount,ps_variation 6 ps_variation_min_fullfillment_time,ps_variation 6 ps_variation_max_fullfillment_time,ps_variation 6 ps_variation_stock,ps_variation 6 ps_variation_size,ps_variation 6 ps_variation_color,ps_variation 6 ps_variation_shipping_fee,ps_variation 7 ps_variation_price,ps_variation 7 ps_variation_price_discount,ps_variation 7 ps_variation_min_fullfillment_time,ps_variation 7 ps_variation_max_fullfillment_time,ps_variation 7 ps_variation_stock,ps_variation 7 ps_variation_size,ps_variation 7 ps_variation_color,ps_variation 7 ps_variation_shipping_fee,ps_variation 8 ps_variation_price,ps_variation 8 ps_variation_price_discount,ps_variation 8 ps_variation_min_fullfillment_time,ps_variation 8 ps_variation_max_fullfillment_time,ps_variation 8 ps_variation_stock,ps_variation 8 ps_variation_size,ps_variation 8 ps_variation_color,ps_variation 8 ps_variation_shipping_fee,ps_variation 9 ps_variation_price,ps_variation 9 ps_variation_price_discount,ps_variation 9 ps_variation_min_fullfillment_time,ps_variation 9 ps_variation_max_fullfillment_time,ps_variation 9 ps_variation_stock,ps_variation 9 ps_variation_size,ps_variation 9 ps_variation_color,ps_variation 9 ps_variation_shipping_fee,ps_variation 10 ps_variation_price,ps_variation 10 ps_variation_price_discount,ps_variation 10 ps_variation_min_fullfillment_time,ps_variation 10 ps_variation_max_fullfillment_time,ps_variation 10 ps_variation_stock,ps_variation 10 ps_variation_size,ps_variation 10 ps_variation_color,ps_variation 10 ps_variation_shipping_fee,ps_variation 11 ps_variation_price,ps_variation 11 ps_variation_price_discount,ps_variation 11 ps_variation_min_fullfillment_time,ps_variation 11 ps_variation_max_fullfillment_time,ps_variation 11 ps_variation_stock,ps_variation 11 ps_variation_size,ps_variation 11 ps_variation_color,ps_variation 11 ps_variation_shipping_fee,ps_variation 12 ps_variation_price,ps_variation 12 ps_variation_price_discount,ps_variation 12 ps_variation_min_fullfillment_time,ps_variation 12 ps_variation_max_fullfillment_time,ps_variation 12 ps_variation_stock,ps_variation 12 ps_variation_size,ps_variation 12 ps_variation_color,ps_variation 12 ps_variation_shipping_fee,ps_variation 13 ps_variation_price,ps_variation 13 ps_variation_price_discount,ps_variation 13 ps_variation_min_fullfillment_time,ps_variation 13 ps_variation_max_fullfillment_time,ps_variation 13 ps_variation_stock,ps_variation 13 ps_variation_size,ps_variation 13 ps_variation_color,ps_variation 13 ps_variation_shipping_fee,ps_variation 14 ps_variation_price,ps_variation 14 ps_variation_price_discount,ps_variation 14 ps_variation_min_fullfillment_time,ps_variation 14 ps_variation_max_fullfillment_time,ps_variation 14 ps_variation_stock,ps_variation 14 ps_variation_size,ps_variation 14 ps_variation_color,ps_variation 14 ps_variation_shipping_fee,ps_variation 15 ps_variation_price,ps_variation 15 ps_variation_price_discount,ps_variation 15 ps_variation_min_fullfillment_time,ps_variation 15 ps_variation_max_fullfillment_time,ps_variation 14 ps_variation_stock,ps_variation 15 ps_variation_size,ps_variation 15 ps_variation_color,ps_variation 15 ps_variation_shipping_fee
Fashion Vintage Women's Shoulder Color block Bag Canvas Tote Messenger Lady's Handbag Purse (Color: Multicolor),female,http://www.wish.com/c/576c98205172e71bd903f633,4.352705410821644,853.0,flowed tenderness,4.513026052104208,https://contestimg.wish.com/api/webimage/576c98205172e71bd903f633-small.jpg?cache_buster=f92708b60a21ba84f01ed3afbe276378,https://contestimg.wish.com/api/webimage/576c98205172e71bd903f633-9-small.jpg,https://contestimg.wish.com/api/webimage/576c98205172e71bd903f633-10-small.jpg,https://contestimg.wish.com/api/webimage/576c98205172e71bd903f633-11-small.jpg,https://contestimg.wish.com/api/webimage/576c98205172e71bd903f633-12-small.jpg,,,,,576c98205172e71bd903f633,8740,4426,," Made of high quality faux Leather.
Match perfectly with your daily outfits.
Makes you look stylish and trendy.
Item size: 38*18*32 CM (L*W*H).
The item colors: As shown
This is the item weight: approx. 1.0KG
Package Contents:
1 x shoulder bag/messenger ",72.0,12.0,1,3,8740,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x Rhinestone Titanium body jewelry navel piercing (Color: Multicolor),female,http://www.wish.com/c/579898cc28f9fd27ae1db46e,4.372,808.0,flowed tenderness,4.513026052104208,https://contestimg.wish.com/api/webimage/579898cc28f9fd27ae1db46e-small.jpg?cache_buster=4b4f1a30624ef75aac39329b8fd8a0f6,https://contestimg.wish.com/api/webimage/579898cc28f9fd27ae1db46e-1-small.jpg,https://contestimg.wish.com/api/webimage/579898cc28f9fd27ae1db46e-2-small.jpg,https://contestimg.wish.com/api/webimage/579898cc28f9fd27ae1db46e-3-small.jpg,https://contestimg.wish.com/api/webimage/579898cc28f9fd27ae1db46e-4-small.jpg,https://contestimg.wish.com/api/webimage/579898cc28f9fd27ae1db46e-5-small.jpg,,,,579898cc28f9fd27ae1db46e,16965,3809,,"     Color: As shown
Package List: 
8   Belly button ring
Add a luxurious and gorgeous navel ring to any style,Elegant and romantic.
12 mm curved barbell and 4 mm top ball and Less than 7 mm ball Connect to the low ball
Titanium navel rhinestones accents to wear in most of the events, is the perfect earrings.
This beautiful navel ring and earrings show your navel.     ",6.0,1.0,1,3,16965,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12 Dollhouse Miniature Stainless Steel Dinnerware Set 12 Pieces (Color: Silver),female,http://www.wish.com/c/577cc36e7bb20e1d3b5add99,4.654929577464789,288.0,flowed tenderness,4.513026052104208,https://contestimg.wish.com/api/webimage/577cc36e7bb20e1d3b5add99-small.jpg?cache_buster=37c5ff2b4a9ea640a9f4624b557f66f3,https://contestimg.wish.com/api/webimage/577cc36e7bb20e1d3b5add99-6-small.jpg,https://contestimg.wish.com/api/webimage/577cc36e7bb20e1d3b5add99-7-small.jpg,https://contestimg.wish.com/api/webimage/577cc36e7bb20e1d3b5add99-8-small.jpg,https://contestimg.wish.com/api/webimage/577cc36e7bb20e1d3b5add99-9-small.jpg,https://contestimg.wish.com/api/webimage/577cc36e7bb20e1d3b5add99-10-small.jpg,,,,577cc36e7bb20e1d3b5add99,7360,1310,,"     This tiny dinnerware set contains 4 forks, 4 spoon and 4 knife. 
   This set is for 1/12 scale dollhouse, baby room box, house model, ornament. 
   package content:1 x Set Dollhouse Dishes 
   WARNING: CHOKING HAZARD small parts 
   Not for children under 3 years.     ",6.0,1.0,1,3,7360,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 pcs Stainless Steel Needles for  in a Black Case (Color: Silver),male,http://www.wish.com/c/5796ff1bfa5cec0280536fab,4.595070422535211,286.0,flowed tenderness,4.513026052104208,https://contestimg.wish.com/api/webimage/5796ff1bfa5cec0280536fab-small.jpg?cache_buster=5d91f60543331aecc56f42938a02639f,,,,,,,,,5796ff1bfa5cec0280536fab,12685,1255,,"       1. Please confirm that the instruments and accessories from tattoo shop are sterilized. 
   The tattoo artist should wear disposable gloves. 
   It is advisable to use the needles and machines which made of stainless steel. 
   2. Please note the quality of tattoo pigments. 
   Liquid plant pigments with alcohol are used in modern 
    instead of dye and ink, because it is extracted from natural plants and can reduce infections after penetration. 
   3. Self-protection: adrenaline are used to cleanse the skin and to stop bleeding in the process. 
   To reduce infection, you need to clean the skin with warm water and keep it dry for one week. 
   4. Use animal blood or vermilion 
   Mixture of pigeon blood and vermilion may endanger your life. 
   5. Do not use alcohol or gentian violet liquid to handle the wound (alcohol will irritate the wound and gentian violet liquid will ruin the tattoo image.). 
    package content: 22 x Needles 
        ",24.0,8.0,1,3,12685,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Pcs Colored Clip-on In Hair Extensions Straight Wigs Hairpieces 23.6 Inch Long - Blue Violet (Color: Purple),female,http://www.wish.com/c/57399e630511515d415e9c58,4.496296296296296,406.0,flowed tenderness,4.513026052104208,https://contestimg.wish.com/api/webimage/57399e630511515d415e9c58-small.jpg?cache_buster=bedb76507559c649be76faf5888fe670,https://contestimg.wish.com/api/webimage/57399e630511515d415e9c58-6-small.jpg,https://contestimg.wish.com/api/webimage/57399e630511515d415e9c58-7-small.jpg,https://contestimg.wish.com/api/webimage/57399e630511515d415e9c58-8-small.jpg,https://contestimg.wish.com/api/webimage/57399e630511515d415e9c58-9-small.jpg,https://contestimg.wish.com/api/webimage/57399e630511515d415e9c58-10-small.jpg,,,,57399e630511515d415e9c58,17200,1255,,"  With snap clip attachments to secure, and easy to wear
Safe, without any chemical dye to damage your hair or skin
Natural and smooth, feel like real
Could be curled or rolled into different looks
Fashionable design, exquisite craftsmanship  Color: Blue violet
  Material: Synthetic fiber
  Measurement (L x W): Approx. 23.6 x 1.1 inch (60 x 2.8cm)
  With snap clip attachments to secure, and easy to wear
  Safe, without any chemical dye to damage your hair or skin
  Natural and smooth, feel like real
  Could be curled or rolled into different looks
  Fashionable design, exquisite craftsmanship
  Package Included: 5 pieces hair extensions
  ",6.0,2.0,1,3,17200,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
